name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Tempur-Pedic TEMPUR-Cloud® 10"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Tempur-Pedic_TEMPUR-Cloud®_10_Medium_Mattress/image_1.jpg', 'images/Tempur-Pedic_TEMPUR-Cloud®_10_Medium_Mattress/image_2.jpg', 'images/Tempur-Pedic_TEMPUR-Cloud®_10_Medium_Mattress/image_3.jpg']","[$ 1189.99, $ 1189.99, $ 1329.99, $ 1399.99, $ 1679.99, $ 1679.99]",4.4,1323,Medium,"All Sleep Positions, Bed Partner and Pain",,,No,No,No,No,No,No,No,65
"Beautyrest Black® Series Three 16.75"" Plush Pillow Top Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_Black®_Series_Three_16.75_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_Black®_Series_Three_16.75_Plush_Pillow_Top_Mattress/image_2.jpg']","[$ 3499.99, $ 3729.99, $ 3999.99, $ 4699.99, $ 4699.99, $ 3449.99]",4.3,331,Plush,"Side Sleepers, Pain and Bed Partner",,,No,No,No,No,No,No,No,66
"Tempur-Pedic TEMPUR-LuxeBreeze® Medium Hybrid 13"" Mattress","[“Twin XL”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Tempur-Pedic_TEMPUR-LuxeBreeze®_Medium_Hybrid_13_Mattress/image_1.jpg', 'images/Tempur-Pedic_TEMPUR-LuxeBreeze®_Medium_Hybrid_13_Mattress/image_2.jpg']","[$ 5099.99, $ 5599.99, $ 6299.99, $ 6299.99, $ 5099.99]",4.1,903,Medium,"Side, Stomach and Back Sleepers",Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,67
"Beautyrest PressureSmart™ 2.0 Hybrid Firm 13"" Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Hybrid_Firm_13_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Hybrid_Firm_13_Mattress/image_2.jpg']","[$ 1149.99, $ 1249.99, $ 1249.99, $ 1399.99, $ 1799.99, $ 1799.99, $ 1249.99]",4.4,598,Firm,Back and Stomach Sleepers,Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,68
"Stearns & Foster Studio 14"" Medium Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Stearns_&_Foster_Studio_14_Medium_Mattress/image_1.jpg', 'images/Stearns_&_Foster_Studio_14_Medium_Mattress/image_2.jpg']","[$ 1699.99, $ 1699.99, $ 1749.99, $ 1799.99, $ 2399.99, $ 2399.99, $ 1699.99]",4.3,923,Medium,"Side, Stomach and Back Sleepers",Innerspring,"14""",Yes,Yes,Yes,Yes,Yes,Yes,No,69
Zinus Green Tea 6” Cushioned Firm Memory Foam Mattress,"[“Twin”, “Full”,“Queen”, “King”, “RV Short Queen”, “Narrow Twin”]","['images/Zinus_Green_Tea_6”_Cushioned_Firm_Memory_Foam__Mattress/image_1.jpg', 'images/Zinus_Green_Tea_6”_Cushioned_Firm_Memory_Foam__Mattress/image_2.jpg', 'images/Zinus_Green_Tea_6”_Cushioned_Firm_Memory_Foam__Mattress/image_3.jpg']","[$ 164.99, $ 209.99, $ 239.99, $ 289.99, $ 229.99, $ 139.99]",4.2,1077,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,70
"Tulo 12"" Medium Firm Cooling Hybrid Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Tulo_12_Medium_Firm_Cooling_Hybrid_Mattress/image_1.jpg', 'images/Tulo_12_Medium_Firm_Cooling_Hybrid_Mattress/image_2.jpg', 'images/Tulo_12_Medium_Firm_Cooling_Hybrid_Mattress/image_3.jpg']","[$ 331.99, $ 351.99, $ 390.99, $ 429.99, $ 566.99, $ 566.99]",3.7,123,Medium,"Side, Stomach and Back Sleepers",Hybrid,"12""",Yes,Yes,No,Yes,Yes,Yes,Yes,71
Purple Original Mattress,"[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Purple_Original_Mattress/image_1.jpg', 'images/Purple_Original_Mattress/image_2.jpg']","[$ 999.99, $ 1099.99, $ 1399.99, $ 1499.99, $ 1999.99, $ 1999.99]",4.5,26553,Medium,"Side, Stomach and Back Sleepers",--,"9.25""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,72
"Beautyrest PressureSmart™ 2.0 Plush Pillow Top 13.75"" Mattress","[“Split Cal King”, “Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Plush_Pillow_Top_13.75_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Plush_Pillow_Top_13.75_Mattress/image_2.jpg']","[$ 1549.99, $ 1449.99, $ 1549.99, $ 1699.99, $ 1699.99, $ 1749.99, $ 2099.99, $ 2099.99]",4.2,1501,Plush,Side Sleepers,Innerspring,"13.75""",Yes,Yes,Yes,Yes,Yes,Yes,No,73
"Stearns & Foster Estate® 14.5"" Firm Mattress","[“Twin XL”, “Full”,“Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Stearns_&_Foster_Estate®_14.5_Firm_Mattress/image_1.jpg', 'images/Stearns_&_Foster_Estate®_14.5_Firm_Mattress/image_2.jpg']","[$ 2299.99, $ 2349.99, $ 2399.99, $ 2999.99, $ 2999.99, $ 2299.99]",4.3,465,Firm,Back and Stomach Sleepers,Innerspring,"14.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,74
