name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Sealy Essentials™ Sudley 8.5"" Firm Mattress",Split Cal King,"['images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Sudley_8.5_Firm_Mattress/image_2.jpg']",279.99,4.0,842.0,Firm,Back and Stomach Sleepers,Innerspring,"8.5""",Yes,Yes,Yes,Yes,Yes,Yes,,35
Sleepy's By Sealy Memory Foam Plush Mattress,Twin,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",349.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
Sleepy's By Sealy Memory Foam Plush Mattress,Twin XL,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",391.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
Sleepy's By Sealy Memory Foam Plush Mattress,Full,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",419.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
Sleepy's By Sealy Memory Foam Plush Mattress,Queen,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",461.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
Sleepy's By Sealy Memory Foam Plush Mattress,King,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",531.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
Sleepy's By Sealy Memory Foam Plush Mattress,Cal King,"['images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Plush_Mattress/image_3.jpg']",531.99,4.2,1536.0,Plush,Side Sleepers,Memory Foam,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,36
"Serta iComfort Iona 13"" Plush Mattress",Twin XL,"['images/Serta_iComfort_Iona_13_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_3.jpg']",1299.99,4.3,15.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,37
"Serta iComfort Iona 13"" Plush Mattress",Full,"['images/Serta_iComfort_Iona_13_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_3.jpg']",1649.99,4.3,15.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,37
"Serta iComfort Iona 13"" Plush Mattress",Queen,"['images/Serta_iComfort_Iona_13_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_3.jpg']",1799.99,4.3,15.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,37
"Serta iComfort Iona 13"" Plush Mattress",King,"['images/Serta_iComfort_Iona_13_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_3.jpg']",2499.99,4.3,15.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,37
"Serta iComfort Iona 13"" Plush Mattress",Cal King,"['images/Serta_iComfort_Iona_13_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Plush_Mattress/image_3.jpg']",2499.99,4.3,15.0,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,37
"Serta iComfort Iona 13"" Medium Mattress",Twin XL,"['images/Serta_iComfort_Iona_13_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_3.jpg']",1299.99,,,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,38
"Serta iComfort Iona 13"" Medium Mattress",Full,"['images/Serta_iComfort_Iona_13_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_3.jpg']",1649.99,,,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,38
"Serta iComfort Iona 13"" Medium Mattress",Queen,"['images/Serta_iComfort_Iona_13_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_3.jpg']",1799.99,,,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,38
"Serta iComfort Iona 13"" Medium Mattress",King,"['images/Serta_iComfort_Iona_13_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_3.jpg']",2499.99,,,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,38
"Serta iComfort Iona 13"" Medium Mattress",Cal King,"['images/Serta_iComfort_Iona_13_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Iona_13_Medium_Mattress/image_3.jpg']",2499.99,,,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,38
"Serta iComfort Aveda 12"" Medium Mattress",Twin XL,"['images/Serta_iComfort_Aveda_12_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_3.jpg']",1199.99,4.6,14.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,39
"Serta iComfort Aveda 12"" Medium Mattress",Full,"['images/Serta_iComfort_Aveda_12_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_3.jpg']",1349.99,4.6,14.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,39
"Serta iComfort Aveda 12"" Medium Mattress",Queen,"['images/Serta_iComfort_Aveda_12_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_3.jpg']",1499.99,4.6,14.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,39
"Serta iComfort Aveda 12"" Medium Mattress",King,"['images/Serta_iComfort_Aveda_12_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_3.jpg']",2099.99,4.6,14.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,39
"Serta iComfort Aveda 12"" Medium Mattress",Cal King,"['images/Serta_iComfort_Aveda_12_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Medium_Mattress/image_3.jpg']",2099.99,4.6,14.0,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,39
"Sealy Essentials™ Winter Green 12"" Medium Euro Top Mattress",Twin,"['images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_2.jpg']",306.99,,,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,40
"Sealy Essentials™ Winter Green 12"" Medium Euro Top Mattress",Twin XL,"['images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_2.jpg']",322.99,,,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,40
"Sealy Essentials™ Winter Green 12"" Medium Euro Top Mattress",Full,"['images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_2.jpg']",412.99,,,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,40
"Sealy Essentials™ Winter Green 12"" Medium Euro Top Mattress",Queen,"['images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_2.jpg']",445.99,,,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,40
"Sealy Essentials™ Winter Green 12"" Medium Euro Top Mattress",King,"['images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Essentials™_Winter_Green_12_Medium_Euro_Top_Mattress/image_2.jpg']",601.99,,,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,No,Yes,Yes,Yes,Yes,Yes,40
